id,nome (marca),nome generico,laboratorio,quantidade,preco
261,SEROQUEL,Quetiapine fumarate,Lake Erie Medical & Surgical Supply DBA Quality Care Products LLC,88,$136.25
262,Loratadine and Pseudoephedrine,loratadine and pseudoephedrine,Rebel Distributors Corp,50,$119.62
263,Pure petroleum,White Petrolatum,"Western Family Foods, Inc",100,$14.38
264,MADA Hand Sanitizing Wipes,Alcohol,"Mada Medical Products, Inc.",84,$99.91
265,Matzim LA,Diltiazem Hydrochloride,"Watson Pharma, Inc.",39,$198.19
266,Ranitidine,Ranitidine,Lake Erie Medical DBA Quality Care Products LLC,5,$172.94
267,999 ITCH RELIEF,MENTHOL,China Resources Sanjiu Medical & Pharmaceutical Co Ltd,57,$32.05
268,OXTELLAR XR,OXCARBAZEPINE,Supernus,51,$132.94
269,Mucinex Fast-Max,"acetaminophen, dextromethorphan hydrobromide, guaifenesin, and phenylephrine hydrochloride",Reckitt Benckiser LLC,8,$118.42
270,VinCRIStine Sulfate,VINCRISTINE SULFATE,"Hospira Worldwide, Inc.",94,$1.06
271,Ginger,Ginger,"Nelco Laboratories, Inc.",29,$17.27
272,Medrox,"Menthol, CAPSAICIN, methyl salicylate","Pharmaceutica North America, Inc.",92,$182.94
273,Acarbose,acarbose,Mylan Pharmaceuticals Inc.,55,$69.61
274,Metoprolol Succinate,Metoprolol Succinate,Bryant Ranch Prepack,18,$61.44
275,Witches Brew Antibacterial Hand,BENZALKONIUM CHLORIDE,"SJ Creations, Inc.",32,$110.93
276,Jun Wai Lung Medicine,Camphor Menthol Methyl Salicylate,Wah Sing Pharmaceutical Limited,77,$157.91
277,Good Neighbor Pharmacy Sinus and Allergy PE,"Chlorpheniramine maleate, Phenylephrine HCl",Amerisource Bergen,7,$12.69
278,Fludarabine,FLUDARABINE PHOSPHATE,"APP Pharmaceuticals, LLC",37,$107.76
279,Oxcarbazepine,Oxcarbazepine,"NCS HealthCare of KY, Inc dba Vangard Labs",61,$154.81
280,ULMUS CRASSIFOLIA POLLEN,Elm Cedar,"ALK-Abello, Inc.",17,$199.06
281,PANTOPRAZOLE SODIUM,PANTOPRAZOLE,"Camber Pharmaceuticals, Inc.",72,$180.03
282,Cyclobenzaprine Hydrochloride,cyclobenzaprine hydrochloride,REMEDYREPACK INC.,84,$98.14
283,Solar Sense Zany Zinc SPF 50 - Blue,ZINC OXIDE,"CCA Industries, Inc",18,$34.65
284,Premarin,conjugated estrogens,"Wyeth Pharmaceuticals Inc., a subsidiary of Pfizer Inc.",93,$127.81
285,Pregnyl,CHORIOGONADOTROPIN ALFA,"Physicians Total Care, Inc.",82,$156.53
286,CELTIS OCCIDENTALIS POLLEN,Hackberry,"ALK-Abello, Inc.",40,$52.09
287,Colgate Optic White Platinum,SODIUM MONOFLUOROPHOSPHATE,Mission Hills S.A de C.V,20,$19.63
288,lice killing,"Piperonyl butoxide, Pyrethrum extract",Walgreen Company,40,$126.24
289,Sinus Relief,"ASAFETIDA,ECHINACEA ANGUSTIFOLIA,CALCIUM SULFIDE,POTASSIUM DICHROMATE,LUFFA OPERCULATA WHOLE,SILICON DIOXIDE,SINUSITISINUM.",Homeocare Laboratories,10,$29.74
290,Venlafaxine Hydrochloride,venlafaxine hydrochloride,REMEDYREPACK INC.,76,$13.80
291,PLANTAGO LANCEOLATA POLLEN,Plantain English,"ALK-Abello, Inc.",88,$160.57
292,Amazonian Colored Clay Foundation Broad Spectrum SPF 15 Sunscreen,Titanium Dioxide and Zinc Oxide,"Tarte, Inc.",42,$59.16
293,Glipizide,Glipizide,"Physicians Total Care, Inc.",37,$34.66
294,Leader Childrens Cold and Cough,"Brompheniramine maleate, Dextromethorphan HBr, Phenylephrine HCl",Cardinal Health,3,$92.72
295,Treatment Set TS128871,Treatment Set TS128871,"Antigen Laboratories, Inc.",54,$157.07
296,Sominex,diphenhydramine HCl,GlaxoSmithKline Consumer Healthcare LP,42,$131.71
297,Metformin Hydrochloride,Metformin Hydrochloride,Torrent Pharmaceuticals Limited,94,$6.53
298,Losartan Potassium,Losartan Potassium,Lake Erie Medical DBA Quality Care Products LLC,45,$108.77
299,Healthy Accents Arthritis Pain Relief,Acetaminophen,DZA Brands LLC,83,$149.54
300,ECHINACEA ANGUSTIFOLIA,ECHINACEA ANGUSTIFOLIA,HOMEOLAB USA INC.,14,$66.23
301,Potassium Chloride,POTASSIUM CHLORIDE,Baxter Healthcare Corporation,30,$52.54
302,Laura Mercier Tinted Moisturizer SPF 20 CARAMEL,"OCTINOXATE, OCTISALATE",Gurwitch Products,26,$32.20
303,harmon face values night time relief,"Acetaminophen, Dextromethorphan HBr, Doxylamine succinate",Harmon Stores Inc.,96,$47.43
304,Xanax,alprazolam,Pharmacia and Upjohn Company,16,$192.34
305,Hand Sanitizer,Ethyl Alcohol,Delon Laboratories (1990) Ltd,78,$42.47
306,Yves Saint Laurent Le Teint Encre De Peau Fusion Ink Foundation Broad Spectrum SPF 18 Sunscreen,Octinoxate,L'Oreal USA Products Inc,22,$94.73
307,Sepia Kit Refill,SEPIA OFFICINALIS JUICE,Washington Homeopathic Products,10,$196.55
308,Metolazone,Metolazone,"NCS HealthCare of KY, Inc dba Vangard Labs",84,$89.87
309,SALSOLA KALI POLLEN,Russian Thistle,"ALK-Abello, Inc.",62,$19.80
310,SHISEIDO WHITE LUCENT BRIGHTENING SPOT-CONTROL FOUNDATION (REFILL),OCTINOXATE and TITANIUM DIOXIDE,SHISEIDO AMERICA INC.,31,$143.88
311,HARMON Extra Strength Pain Relieving Roll-On,MENTHOL,Harmon Stores Inc.,2,$186.50
312,Harris Teeter,TRICLOSAN,Harris Teeter,62,$170.45
313,Labetalol Hydrochloride,Labetalol Hydrochloride,REMEDYREPACK INC.,92,$85.90
314,Roota Re V for women,PANTHENOL,Raphabio Inc,7,$176.63
315,MEDI-FIRST Ibuprofen,Ibuprofen,Unifirst First Aid Corporation,65,$118.32
316,Chigarid,"CAMPHOR (SYNTHETIC), PHENOL, MENTHOL",Richard E. Colgin I. Ltd,55,$32.68
317,SHISEIDO SUN PROTECTION FOUNDATION,TITANIUM DIOXIDE,SHISEIDO AMERICA INC.,37,$55.02
318,Monilia,Monilia sitophila,"Allermed Laboratories, Inc.",96,$197.10
319,Midazolam,Midazolam,Cardinal Health,7,$94.32
320,"Pollens - Trees, Gum, Sweet Liquidambar styraciflua","Gum, Sweet Liquidambar styraciflua",Jubilant HollisterStier LLC,24,$7.09
321,BUPRENORPHINE HYDROCHLORIDE,BUPRENORPHINE HYDROCHLORIDE,REMEDYREPACK INC.,17,$44.00
322,Premier Value Famotidine,Famotidine,Premier Value,60,$82.40
323,Effexor,venlafaxine hydrochloride,Stat Rx USA,1,$31.59
324,Carbidopa and Levodopa,carbidopa and levodopa,Mylan Institutional Inc.,75,$9.91
325,Stay Awake,Caffeine,Wal-Mart Stores Inc,79,$47.14
326,Leader Cough Tabs,Guaifenesin,Cardinal Health,89,$40.85
327,hemorrhoidal,"cocoa butter, phenylephrine hcl",HyVee Inc,39,$40.92
328,Terazosin Hydrochloride,Terazosin Hydrochloride,State of Florida DOH Central Pharmacy,99,$188.54
329,Carbidopa and Levodopa,Carbidopa and Levodopa,Major Pharmaceuticals,51,$175.21
330,CLINDAMYCIN PHOSPHATE,clindamycin phosphate,"Physicians Total Care, Inc.",79,$50.60
331,LBEL,Zinc Oxide,Ventura Corporation Ltd.,97,$176.60
332,Lotrel,amlodipine besylate and benazepril hydrochloride,"PD-Rx Pharmaceuticals, Inc.",34,$171.51
333,CLARINS Extra-Comfort Broad Spectrum SPF 15 Sunscreen Tint 109,TITANIUM DIOXIDE,Laboratoires Clarins S.A.,93,$182.62
334,DOVE,Pyrithione Zinc,Conopco Inc. d/b/a Unilever,84,$76.51
335,Atorvastatin Calcium,Atorvastatin Calcium,"Physicians Total Care, Inc.",30,$180.93
336,Escitalopram,Escitalopram,REMEDYREPACK INC.,69,$42.33
337,Methylprednisolone,Methylprednisolone,BluePoint Laboratories,96,$124.65
338,AMOXICILLIN,AMOXICILLIN,STAT Rx USA LLC,54,$141.75
339,Certus Wash Towelette,BENZALKONIUM CHLORIDE,"Certus Medical, Inc.",65,$177.08
340,Instant Hand Sanitizer,Alcohol,Cintas Corp.,83,$187.00
341,Metformin Hydrochloride,Metformin Hydrochloride,"NCS HealthCare of KY, Inc dba Vangard Labs",63,$149.66
342,Calamine Plus,"FERRIC OXIDE RED, PRAMOXINE HYDROCHLORIDE, ZINC OXIDE","Wal-Mart Stores, Inc.",27,$77.52
343,Levothyroxine Sodium,Levothyroxine Sodium,"H.J. Harkins Company, Inc.",62,$133.35
344,Treatment Set TS348237,Treatment Set TS348237,"Antigen Laboratories, Inc.",31,$100.87
345,Warfarin Sodium,Warfarin Sodium,Unit Dose Services,77,$100.43
346,Fig,Fig,"Nelco Laboratories, Inc.",72,$148.71
347,Enchanted Moments Mistletoe Kisses Hand Sanitizer,ALCOHOL,ENCHANTE ACCESSORIES INC.,58,$97.67
348,Premier Value,Miconazole Nitrate,Chain Drug Consortium,7,$42.62
349,Quality Choice Hemorrhoidal,Mineral Oil,Chain Drug Marketing Association,30,$95.58
350,KINKAN COOL,"diphenhydramine hydrochloride, menthol","KINKANDO CO., LTD.",17,$197.63
351,Quetiapine fumarate,Quetiapine fumarate,REMEDYREPACK INC.,40,$128.48
352,Hydrogen Peroxide,Hydrogen Peroxide,Cintas First Aid & Safety,85,$177.31
353,Oral-B Minute-Foam Orang-A-Tangy,Acidulated Phosphate Fluoride,Oral-B Laboratories,97,$34.47
354,Alcohol Prep Pads Lightweight Non-Sterile,ISOPROPYL ALCOHOL,PSS World Medical,8,$116.01
355,Tussin DMMaximum Strength,"Dextromethorphan HBr, Guaifenesin",CVS Pharmacy,77,$20.50
356,WELLBUTRIN,bupropion hydrochloride,GlaxoSmithKline LLC,19,$158.87
357,Ramipril,Ramipril,Aurobindo Pharma Limited,62,$136.05
358,Gabapentin,Gabapentin,"Blenheim Pharmacal, Inc.",2,$92.02
359,Cortaid,Hydrocortisone Acetate,"Johnson & Johnson Consumer Products Company, Division of Johnson & Johnson consumer Companies, Inc.",46,$18.10
360,ZOCOR,SIMVASTATIN,Merck Sharp & Dohme Corp.,75,$83.80
361,CLINIQUE,"OCTINOXATE, OCTISALATE, and TITANIUM DIOXIDE",CLINIQUE LABORATORIES INC,48,$84.62
362,BLEMISH CORRECTING SERUM,SALICYLIC ACID,CEN BEAUTY LLC,73,$113.70
363,Nitrogen,Nitrogen,General Cryogenic Technologies LLC,41,$144.20
364,DOXYCYCLINE,DOXYCYCLINE,"Lupin Pharmaceuticals, Inc.",69,$13.34
365,Analgesic Creme Rub,Trolamine Salicylate 10%,Major Pharmaceuticals,96,$78.68
366,Aplenzin,bupropion hydrobromide,sanofi-aventis U.S. LLC,99,$31.45
367,BUMETANIDE,BUMETANIDE,St Marys Medical Park Pharmacy,89,$198.70
368,Albuterol Sulfate,Albuterol Sulfate,Teva Pharmaceuticals USA Inc,27,$40.22
369,Naturasil,Thuja Occidentalis,"Nature's Innovation, Inc.",41,$43.62
370,naproxen sodium,Naproxen Sodium,Kroger Company,84,$132.56
371,Divalproex Sodium,divalproex sodium,Mylan Institutional Inc.,13,$51.91
372,NITROGEN,NITROGEN,Capweld Inc,91,$82.32
373,"Pollens - Trees, Oak Mix",Oak Mix,Jubilant HollisterStier LLC,32,$147.04
374,Indomethacin,Indomethacin,"Glenmark Generics Inc., USA",72,$49.61
375,Acyclovir,Acyclovir,REMEDYREPACK INC.,81,$198.16
376,PEGINTRON,Peginterferon alfa-2b,Merck Sharp & Dohme Corp.,83,$123.38
377,Biocof,"Dextromethorphan Hydrobromide, Guaifenesin, Phenylephrine HCL",Advanced Generic Corporation,93,$92.69
378,Loratadine,Loratadine,Valu Merchandisers Company,21,$56.50
379,VISIBLE DIFFERENCE MULTI TARGETED BB CREAM BROAD SPECTRUM SUNSCREEN SPF 30 SHADE 3,"OCTINOXATE, TITANIUM DIOXIDE, OCTISALATE, and OXYBENZONE","Elizabeth Arden, Inc",62,$110.44
380,Bacitracin Zinc,Bacitracin Zinc,"Kareway Product, Inc.",93,$84.25
381,Sunmark Urinary Pain Relief Maximum Strength,PHENAZOPYRIDINE HYDROCHLORIDE,McKesson,51,$184.77
382,AFLURIA,"INFLUENZA A VIRUS A/CALIFORNIA/7/2009 X-181 (H1N1) ANTIGEN (PROPIOLACTONE INACTIVATED), INFLUENZA A VIRUS A/TEXAS/50/2012 X-223 (H3N2) ANTIGEN (PROPIOLACTONE INACTIVATED), and INFLUENZA B VIRUS B/MASSACHUSETTS/2/2012 BX-51B ANTIGEN (PROPIOLACTONE INACTIVATED)",CSL Limited,13,$115.91
383,Privet,Privet,"Nelco Laboratories, Inc.",6,$57.37
384,CLARINS Broad Spectrum SPF 20 Super Restorative Tinted Tint 02,TITANIUM DIOXIDE,Laboratoires Clarins S.A.,77,$136.68
385,Colgate Optic White,SODIUM MONOFLUOROPHOSPHATE,Mission Hills S.A de C.V,80,$191.62
386,Roota Re V Tonic,PANTHENOL,Raphabio Inc,12,$169.90
387,Quality Choice Povidone Iodine,Povidone Iodine 10%,Chain Drug Market Association,70,$44.72
388,Biaxin,Clarithromycin,"Physicians Total Care, Inc.",64,$63.17
389,Hydroxyzine Hydrochloride,Hydroxyzine,"Golden State Medical Supply, Inc.",22,$130.06
390,Quik San,BENZETHONIUM CHLORIDE,Delta Foremost Chemical Corporation,25,$1.83
391,Arnica Plus,"Arnica Montana, Hamamelis Virginiana, Rhus Toxicodendron","Peaceful Mountain, Inc.",96,$190.37
392,Gambil Oak,Gambil Oak,"Nelco Laboratories, Inc.",23,$67.78
393,Health,Cetylpyridinium chloride,Walgreen Co,13,$3.13
394,Griseofulvin,Griseofulvin,Oceanside Pharmaceuticals,92,$109.24
395,Zee-Seltzer Antacid and Pain Reliever,"Aspirin, Citric Acid Monohydrate, and Sodium Bicarbonate",ZEE MEDICAL,57,$150.61
396,Fosinopril sodium,Fosinopril sodium,"Exelan Pharmaceuticals, Inc.",25,$148.81
397,Regular Strength Pain Relief,Acetaminophen,"WOONSOCKET PRESCRIPTION CENTER,INCORPORATED",4,$13.36
398,XtraCare Dandruff Hair Wash,Salicylic Acid,Rejoice International,80,$114.25
399,Levofloxacin,Levofloxacin,Hikma Pharmaceutical,49,$68.77
400,Benazepril Hydrochloride and Hydrochlorothiazide,benazepril hydrochloride and hydrochlorothiazide,Clinical Solutions Wholesale,13,$190.83
401,Triple Potency HGH,"Hepar, Human growth hormone, Pituitarum,",Apotheca Company,14,$58.38
402,Orphenadrine Citrate,Orphenadrine Citrate,Aidarex Pharmaceuticals LLC,16,$103.09
403,Ontak,denileukin diftitox,Eisai Inc.,75,$156.51
404,Bupivacaine Hydrochloride,BUPIVACAINE HYDROCHLORIDE,"Hospira, Inc.",71,$68.32
405,Norinyl,Norethindrone and Mestranol,"Actavis Pharma, Inc.",11,$129.09
406,CEFPROZIL,CEFPROZIL,Wockhardt Limited,22,$137.96
407,Diabetic Tussin Mucus Relief,Guaifenesin,Health Care Products,9,$60.90
408,Gas Relief,SIMETHICONE,"EQUATE (Walmart Stores, Inc.)",72,$47.20
409,Mosquito,Mosquito,"Nelco Laboratories, Inc.",22,$101.79
410,Ranitidine,Ranitidine,"Preferred Pharmaceuticals, Inc",52,$75.07
411,Depressoforce,Depressoforce,Apotheca Company,48,$6.11
412,PEPSOM SALT PEPPERMINT,magnesium sulfate,"The Pepsom Group, Inc.",52,$75.70
413,COUMADIN,warfarin sodium,Bristol-Myers Squibb Pharma Company,55,$62.97
414,Good Sense tussin,"Dextromethorphan HBr, Guaifenesin",L Perrigo Company,25,$31.41
415,Acetaminophen PM,Acetaminophen and Diphenhydramine HCl,Rite Aid,78,$30.33
416,Aldex AN,DOXYLAMINE SUCCINATE,"Pernix Therapeutics, LLC",73,$58.84
417,exchange select allergy relief,Loratadine,Army & Air Force Exchange Service,53,$64.49
418,"MAPLE MIX, RED/SILVER/SUGAR POLLEN",acer saccharum pollen and acer saccharinum pollen and acer rubrum pollen,"Allergy Laboratories, Inc.",63,$18.58
419,Metformin Hydrochloride,Metformin Hydrochloride,"AvKARE, Inc.",52,$103.81
420,Witchs Brew Antibacterial Hand,ALCOHOL,"SJ Creations, Inc.",20,$100.96
421,Hydroxyzine Hydrochloride,Hydroxyzine Hydrochloride,"KVK-Tech, Inc.",62,$74.07
422,Betadine,povidone-iodine,Rebel Distributors Corp,86,$56.43
423,Tacrolimus,Tacrolimus,Dr. Reddy's Laboratories Limited,16,$110.86
424,Aspirin,Aspirin,Meijer Distribution Inc,33,$49.49
425,Alprazolam,Alprazolam,Rebel Distributors Corp.,2,$188.29
426,Gasalia,"ACTIVATED CHARCOAL, LYCOPODIUM CLAVATUM SPORE, NUTMEG, DAIKON",Laboratoires Boiron,3,$30.82
427,Eucalyptus e fol. 5,Eucalyptus e fol. 5,Uriel Pharmacy Inc.,51,$129.41
428,Carbidopa and Levodopa,Carbidopa and Levodopa,American Health Packaging,84,$153.40
429,Ofloxacin,Ofloxacin,REMEDYREPACK INC.,97,$39.14
430,Petroleum Skin Protectant,White Petrolatum,"Wal-Mart Stores, Inc",13,$4.61
431,CLARINS Broad Spectrum SPF 20 Super Restorative Tinted Tint 04,TITANIUM DIOXIDE,Laboratoires Clarins S.A.,57,$89.06
432,Premarin,conjugated estrogens,Cardinal Health,65,$144.90
433,Couch Quack Grass,Couch Quack Grass,"Nelco Laboratories, Inc.",26,$115.76
434,Reed Canary Grass,Reed Canary Grass,"Antigen Laboratories, Inc.",50,$44.33
435,nasal,Oxymetazoline HCl,Kroger Company,83,$122.95
436,ABILIFY,ARIPIPRAZOLE,Cardinal Health,27,$83.87
437,leader antacid,Calcium Carbonate,Cardinal Health,32,$26.67
438,Oticin,Chloroxylenol / Pramoxine HCl,"Teral, Inc.",62,$54.34
439,Leucovorin,leucovorin calcium,Sagent Pharmaceuticals,35,$195.61
440,Vinceel,APIS MELLIFERA and CYNANCHUM VINCETOXICUM LEAF and ATROPA BELLADONNA and CALENDULA OFFICINALIS FLOWERING TOP and ECHINACEA PURPUREA and PHYTOLACCA AMERICANA ROOT and PLANTAGO MAJOR and SAGE,Biologische Heilmittel Heel,37,$113.61
441,Risperidone,risperidone,Clinical Solutions Wholesale,27,$78.39
442,"SODIUM SULFACETAMIDE, SULFUR","SODIUM SULFACETAMIDE, SULFUR","AUSTIN PHARMACEUTICALS, LLC",55,$86.66
443,Estradiol,estradiol,Cardinal Health,77,$199.14
444,KINESYS,"OCTINOXATE, OCTISALATE, OXYBENZONE, and TITANIUM DIOXIDE",KINeSYS Pharmaceutical Inc.,68,$169.18
445,Everyday Clean,Pyrithione zinc,"Western Family Foods, Inc",88,$36.21
446,Asepso,TRICLOSAN,CODAA Switzerland / Euero Sensation,31,$65.14
447,Quetiapine Fumarate,Quetiapine Fumarate,"Ascend Laboratories, LLC",56,$183.74
448,Levothyroxine Sodium,levothyroxine sodium,Mylan Pharmaceuticals Inc.,28,$188.40
449,Phelityl Day SPF 15,Avobenzone and Octinoxate,"Erno Laszlo, Inc.",84,$97.85
450,METFORMIN HYDROCHLORIDE,METFORMIN HYDROCHLORIDE,Zydus Pharmaceuticals (USA) Inc.,17,$195.95
451,Whole System EEP,"MERCURIUS CORROSIVUS,NUX VOMICA,HYOSCYAMINUM,CARCINOSINUM,GRAPHITES,ZINCUM METALLICUM,LILIUM TIGRINUM,CINCHONA OFFICINALIS,CAUSTICUM,COFFEA CRUDA,BELLADONNA,IGNATIA AMARA,SCROPHULARIA NODOSA,SPONGIA TOSTA ,CEANOTHUS AMERICANUS,SENNA,HYDRASTIS CANADENSIS,CONDURANGO,CHELIDONIUM MAJUS,PITUITARY GLAND, BOS TAURUS,PANCREAS SUIS,LYCOPODIUM CLAVATUM,BERBERIS VULGARIS,",White Manufacturing Inc. DBA Micro-West,89,$96.42
452,Quetiapine fumarate,Quetiapine fumarate,American Health Packaging,39,$165.98
453,Curvularia inequalis,Curvularia inequalis,"Nelco Laboratories, Inc.",95,$147.16
454,Gabapentin,Gabapentin,Actavis Pharma Manufacturing Pvt Ltd. (SOD),21,$134.67
455,DULOXETINE,DULOXETINE HYDROCHLORIDE,"Golden State Medical Supply, Inc.",69,$136.42
456,Treatment Set TS332090,Treatment Set TS332090,"Antigen Laboratories, Inc.",97,$111.79
457,leader pain and fever,acetaminophen,Cardinal Health,8,$84.63
458,American Beech,American Beech,"Antigen Laboratories, Inc.",90,$33.36
459,POLYMYXIN B SULFATE and TRIMETHOPRIM SULFATE,"polymyxin B sulfate, trimethoprim sulfate","Preferred Pharmaceuticals, Inc",11,$90.66
460,Haloperidol Lactate,haloperidol lactate,Sagent Pharmaceuticals,62,$198.10
461,CoreTex Sun X SPF 30,"Avobenzone, Homosalate, Octinoxate, Octisalate, Oxybenzone",CoreTex Products,35,$127.01
462,Fentanyl,Fentanyl,Teva Pharmaceuticals USA Inc,73,$156.79
463,Irinotecan Hydrochloride,Irinotecan Hydrochloride,Cipla Limited,68,$43.70
464,Lisinopril with Hydrochlorothiazide,Lisinopril and Hydrochlorothiazide,West-Ward Pharmaceutical Corp,24,$22.02
465,Arnuity Ellipta,fluticasone furoate,GlaxoSmithKline LLC,31,$193.29
466,Cefepime,Cefepime,"APP Pharmaceuticals, LLC",90,$149.34
467,Doxycycline Hyclate,Doxycycline Hyclate,REMEDYREPACK INC.,89,$18.87
468,RUTIN,not applicable,"BioActive Nutritional, Inc.",22,$141.21
469,Jason Dandruff Relief Treatment 2 in 1,Zinc Pyrithione,"The Hain Celestial Group, Inc",21,$173.95
470,Triadine,povidone-iodine,"H and P Industries, Inc. dba Triad Group",71,$89.56
471,good sense miconazole 7,Miconazole nitrate,L Perrigo Company,33,$148.83
472,Nitrogen,Nitrogen,Boggs Gases div. Boggs Fire Equipment,78,$52.64
473,Boy Butter,Benzocaine,Boy Butter Lubes,93,$47.07
474,Badger Unscented SPF 30 Sunscreen,ZINC OXIDE,Norwood Packaging Ltd.,13,$42.26
475,Lovastatin,Lovastatin,"Aphena Pharma Solutions - Tennessee, LLC",11,$198.71
476,Focus RxS,"Alpha-ketoglutaricum acidum, ATP, Formicum acidum, Malicum acidum, Sarcolacticum acidum, Dulcamara, Hyoscyamus niger, Phosphorus, Sabina, Acetylcholine chlorice, Adrrenalinum, Dopamine, Gaba, Norepine",Apotheca Company,37,$132.35
477,Sominex,diphenhydramine HCl,GlaxoSmithKline Consumer Healthcare LP,88,$12.65
478,Treatment Set TS349290,Treatment Set TS349290,"Antigen Laboratories, Inc.",37,$190.95
479,Clonazepam,Clonazepam,"PD-Rx Pharmaceuticals, Inc.",89,$91.42
480,HGH Plus IGF1 and IGF2,"Arnica Montana, Deer Antler Velvet, Hepar Bovine, HGH, IGF, Pituitaria Glandula Bovine, Thuja Occidentalis",ProBLEN,83,$101.38
481,Accupril,quinapril hydrochloride,Parke-Davis Div of Pfizer Inc,23,$156.28
482,Quetiapine fumarate,Quetiapine fumarate,REMEDYREPACK INC.,52,$156.09
483,Potassium Chloride,potassium chloride,American Health Packaging,68,$53.46
484,Berberis Populus,Berberis Populus,Uriel Pharmacy Inc.,84,$48.07
485,Diltiazem Hydrochloride,Diltiazem Hydrochloride,"Watson Pharma, Inc.",61,$137.04
486,Ropinirole,rOPINIRole,"Aphena Pharma Solutions - Tennessee, LLC",36,$29.83
487,Naturasil,Thuja Occidentalis,"Nature's Innovation, Inc.",33,$162.24
488,Penicillin V Potassium,Penicillin V Potassium,Citron Pharma LLC,13,$144.77
489,"Food - Animal Products and Poultry Products, Pork Sus sp.",Pork Sus sp.,Jubilant HollisterStier LLC,30,$110.89
490,LBEL Couleur Luxe Rouge Amplifier XP amplifying SPF 15,Octinoxate and Oxybenzone,Ventura Corporation LTD,45,$87.74
491,Tender Moments Baby Sunscreen Broad Spectrum SPF 50,"Avobenzone, Homosalate, Octisalate, Octocrylene, Oxybenzone",JAFRA COSMETICS INTERNATIONAL,81,$172.41
492,Desoxyn,methamphetamine hydrochloride,"RECORDATI RARE DISEASES, INC.",21,$7.69
493,Childrens Pain Reliever,Acetaminophen,ARMY AND AIR FORCE EXCHANGE SERVICE,80,$96.02
494,Walgreens Wal-Flu Cold and Sore Throat,"Acetaminophen, Pheniramine Maleate, Phenylephrine HCl",Walgreen Co.,18,$175.48
495,LYMPHAZURIN,isosulfan blue,UNITED STATES SURGICAL CORPORATION,58,$57.89
496,Amoxicillin,Amoxicillin,"Blenheim Pharmacal, Inc.",79,$189.75
497,Miralac,CALCIUM CARBONATE,North Safety Products,38,$23.35
498,Oxygen-Helium Mixture,Oxygen-Helium Mixture,"Roberts Oxygen Company, Inc.",54,$144.41
499,Hydrogen Peroxide,HYDROGEN PEROXIDE,Kmart Corp,85,$47.01
500,methylphenidate hydrochloride,methylphenidate hydrochloride,"Actavis Pharma, Inc.",76,$47.26
501,Constipation,"Abies nig., Aesculus hipp., Aloe, Alumina, Bryonia, Carbo veg., Chelidonium majus, Collinsonia, Graphites, Hydrastis, Kali carb., Lycopodium, Mag. mur., Mezereum, Nux vom., Podoph. pelt., Rhamnus purshiana, Sanicula, Selenium, Sepia, Silicea, Tabacum, Veratrum alb., Zinc. met., Echinacea, Iris versicolor, Phytolacca, Taraxacum","Newton Laboratories, Inc.",95,$150.27
502,Erborian BB Creme Au Ginseng Dore,Titanium Dioxide,Kolmar Korea Co Ltd,4,$184.99
503,Eve Lom Radiance Lift Foundation SPF 15,Titanium Dioxide and Octinoxate,Space Brands Limited,79,$13.00
504,Sulindac,Sulindac,"H.J. Harkins Company, Inc.",7,$93.87
505,Metoprolol Tartrate,Metoprolol Tartrate,Major Pharmaceuticals,33,$47.11
506,Quelicin,Succinylcholine Chloride,"Hospira, Inc.",54,$26.02
507,Creamy Beige Perfecting Makeup Broad Spectrum SPF 25,"Octinoxate, Titanium Dioxide","Merle Norman Cosmetics, Inc",83,$145.89
508,Lisinopril,Lisinopril,Qualitest Pharmaceuticals,11,$71.67
509,"levomefolate calcium, cyanocobalamin and pyridoxine hydrochloride","levomefolate calcium, cyanocobalamin and pyridoxine hydrochloride",Virtus Pharmaceuticals LLC,85,$8.52
510,NEUPOGEN,Filgrastim,Amgen Inc,71,$199.34
511,Gum,Sodium Fluoride,"Sunstar Americas, Inc.",13,$138.79
512,Ondansetron Hydrochloride,Ondansetron Hydrochloride,"Lannett Company, Inc.",16,$48.72
513,Clomiphene Citrate,Clomiphene Citrate,"Physicians Total Care, Inc.",84,$84.09
514,Chestnut,Chestnut,"Nelco Laboratories, Inc.",48,$77.67
515,good sense allergy relief,Loratadine,L. Perrigo Company,95,$59.38
516,up and up,"Acetaminophen, Diphenhydramine hydrochloride, and Phenylephrine hydrochloride",Target Corporation,63,$138.51
517,BETAMETHASONE VALERATE,BETAMETHASONE VALERATE,STAT RX USA LLC,70,$22.86
518,Stibium 5,Stibium 5,Uriel Pharmacy Inc.,66,$39.88
519,Levaquin,levofloxacin,"Janssen Pharmaceuticals, Inc.",3,$109.10
520,HydrALAZINE Hydrochloride,HydrALAZINE Hydrochloride,Strides Arcolab Limited,2,$112.18
521,Telmisartan,Telmisartan,"Watson Laboratories, Inc.",95,$117.21
522,Ciprofloxacin,ciprofloxacin hydrochloride,"Physicians Total Care, Inc.",87,$195.59
523,Amoxicillin,Amoxicillin,Hikma Pharmaceutical,37,$162.92
524,PROPOXYPHENE NAPSYLATE AND ACETAMINOPHEN,propoxyphene napsylate and acetaminophen,RedPharm Drug Inc.,69,$129.26
525,Harris Teeter,TRICLOSAN,HARRIS TEETER,41,$109.03
526,Metronidazole,Metronidazole,"Physicians Total Care, Inc.",31,$192.98
527,Levofloxacin,levofloxacin,Sagent Pharmaceuticals,51,$61.37
